date,frequency,price_eur_per_troy_oz,methodology
2000-12-31,A,310,seed_annual_close_lab
2001-12-31,A,330,seed_annual_close_lab
2002-12-31,A,350,seed_annual_close_lab
2003-12-31,A,320,seed_annual_close_lab
2004-12-31,A,330,seed_annual_close_lab
2005-12-31,A,360,seed_annual_close_lab
2006-12-31,A,480,seed_annual_close_lab
2007-12-31,A,510,seed_annual_close_lab
2008-12-31,A,600,seed_annual_close_lab
2009-12-31,A,700,seed_annual_close_lab
2010-12-31,A,950,seed_annual_close_lab
2011-12-31,A,1200,seed_annual_close_lab
2012-12-31,A,1300,seed_annual_close_lab
2013-12-31,A,1100,seed_annual_close_lab
2014-12-31,A,1000,seed_annual_close_lab
2015-12-31,A,1050,seed_annual_close_lab
2016-12-31,A,1120,seed_annual_close_lab
2017-12-31,A,1150,seed_annual_close_lab
2018-12-31,A,1100,seed_annual_close_lab
2019-12-31,A,1250,seed_annual_close_lab
2020-12-31,A,1550,seed_annual_close_lab
2021-12-31,A,1550,seed_annual_close_lab
2022-12-31,A,1700,seed_annual_close_lab
2023-12-31,A,1800,seed_annual_close_lab
2024-12-31,A,2150,seed_annual_close_lab
2025-12-31,A,2600,seed_annual_close_lab
2026-12-31,A,3776,seed_annual_close_lab
